,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,artist
207,,,,,,,,,,0.0,"JOHN HENRY AMSHEWITZ, R.B.A."
208,,217479.87,,,,,,,,22163.55,FERNAND KHNOPFF
209,,,,,,34981.04,,,,45630.84,MAX KLINGER
210,,,,,,,,,,0.0,CHARLES REVEL
211,109243.89,59583.53,131899.72,,64027.4,,,128089.20000000001,37282.26,71705.6,GUILLAUME SEIGNAC
212,,,,,,,0.0,,,19556.07,JEAN-LÉON GÉRÔME AND STUDIO
213,0.0,0.0,357594.8,,0.0,68590.27,296979.51,114606.13,0.0,162315.40000000002,EDWIN LORD WEEKS
214,,,,,,,,,,31289.72,ALFRED DEHODENCQ
215,,,,,,,,,,716534.53,DAME LAURA KNIGHT R.A
216,0.0,506459.97,,0.0,0.0,,0.0,53932.3,,58668.22,ARTHUR JOHN ELSLEY
217,,,927401.5900000001,3825101.02,403651.0,96026.37,4257606.18,502648.99,3330903.64,2808252.14,"SIR ALFRED JAMES MUNNINGS, P.R.A., R.W.S."
218,81339.2,,,49724.61,310115.32,1124880.38,134990.68,,,1931097.06,RUTH ASAWA
219,,,,,,,,,,247710.26,ALMA THOMAS
220,0.0,,1273858.1800000002,650682.02,4175.7,4115.42,0.0,424986.49,,1079495.25,LEE BONTECOU
221,,,743914.4299999999,7103.52,45236.75,28807.91,1057517.0100000002,498873.73,6657.55,496724.25999999995,LUCAS SAMARAS
222,1880033.8999999997,411275.28,1690338.86,629087.33,1432153.75,294938.14,1676584.29,928309.64,1132581.79,934780.3300000001,LOUISE NEVELSON
223,5497401.850000001,11660615.14,1935481.25,6355969.919999999,4682490.78,5824480.27,6309059.59,7723778.84,8178263.170000001,4659690.81,JEAN DUBUFFET
224,8678655.159999998,10341018.799999999,18601524.41,26401692.79999999,29483531.890000004,23243732.500000004,10018063.64,18550282.62,7976539.519999998,7126102.7299999995,ALEXANDER CALDER
225,1165822.28,7810506.449999999,13465202.74,11416770.09,7698598.860000001,5357722.93,1257371.26,4150899.1100000003,1227917.8599999999,12604541.18,JOAN MITCHELL
226,4699268.359999999,1052618.0600000003,2379177.81,3385819.58,2330875.7400000007,5517675.440000001,3488497.309999999,3327352.9699999997,5983935.87,3473940.8700000006,SAM FRANCIS
227,190583.1,400699.2100000001,464580.12,813068.3799999999,160486.07,177923.16,95843.39,208987.64,202389.41,681855.0900000001,THEODOROS STAMOS
228,1693280.2799999998,305961.39999999997,,357448.9,724344.76,109744.43,437639.8,3229465.84,,2409308.24,AD REINHARDT
229,2752322.6,4734209.029999999,9551151.84,9048742.17,4111672.58,2054690.0299999998,2339388.5399999996,1375273.54,3883213.68,2351683.02,DONALD JUDD
230,2894889.449999999,852342.32,35421523.23,8467816.659999998,67667329.5,3242399.0900000003,4252746.5,7393982.870000001,1921634.1900000002,3359603.04,ROY LICHTENSTEIN
231,219081.49,5039723.560000002,474838.99,40163632.300000004,4184329.7599999993,2134391.91,1800370.75,5063972.870000001,2808552.53,8365514.550000001,WAYNE THIEBAUD
232,,13406.29,,39069.34,50108.4,68590.26999999999,30372.9,,50597.35,1039861.6100000001,SAM GILLIAM
233,84010.93000000001,26067.79,27845.5,35517.57,13571.58,7544.93,,,66575.46,229457.91999999998,BRIDGET RILEY
234,,,,,,,,,,117336.44,FRANK BOWLING
235,1011619.8,303875.98,1191933.8,862793.0,1354736.2700000003,899492.75,1857876.79,850781.96,252587.31,863074.7099999998,JAMES ROSENQUIST
236,1337050.21,2076485.8599999999,284317.17,3340357.12,1843153.98,2110659.7,1377444.94,1963135.55,5027246.46,1033603.66,ANSELM KIEFER
237,3109888.55,2936871.9799999995,12690218.6,995628.73,2662983.079999999,717179.8299999998,1325608.5,1628620.49,3130112.019999999,3333658.6399999997,ROBERT RAUSCHENBERG
238,767082.08,464751.5,2397819.66,1860268.6300000001,962220.4700000001,117289.36000000002,538072.8700000001,673614.37,735658.86,2269808.2600000002,JOSEPH CORNELL
239,410852.01999999996,1146387.03,438200.18,188953.51,0.0,68590.27,588559.38,14831.38,394126.75,1490172.8,JOHN CURRIN
240,522470.77,,,1444855.06,1632977.08,711281.07,991101.5900000001,716220.88,2411363.3200000003,873504.61,GEORG BASELITZ
241,105681.58,804377.59,627842.67,435303.43000000005,562049.22,662719.1499999999,0.0,237302.09000000003,249657.99000000002,32593.46,ERIC FISCHL
242,357417.51,32770.94,971954.38,938800.6100000001,328070.83,41154.16,368254.59,,,76920.56,LISA YUSKAVAGE
243,139375.01,935759.2699999999,722810.46,165369.84,547851.84,7544.93,103267.87,64044.6,209046.97,185130.83000000002,CHUCK CLOSE
244,130172.4,431086.79000000004,11502241.79,4262.11,577916.88,1411176.1500000001,639315.88,719996.1499999999,2319222.87,2688308.23,BRICE MARDEN
245,1403160.5599999996,1158303.7599999998,1770240.7900000005,1148325.9,960898.7200000001,605789.2299999999,3084065.1899999995,2176033.2899999996,1309805.6800000002,1038427.4899999999,SOL LEWITT
246,1847943.49,999513.65,598971.28,221061.4,890816.0,1083726.22,362314.99,743187.03,1108348.32,2301358.72,SEAN SCULLY
247,2630388.5899999994,953485.3499999999,5316438.019999999,2993563.49,1665339.3099999998,1189561.5599999998,1658226.64,4090764.5899999994,11518487.38,922003.6500000001,FRANK STELLA
248,429850.95,74479.41,328283.75,76717.96,151160.34,192052.75,210720.46000000002,194156.26,159781.11,426322.39,JOEL SHAPIRO
249,480688.54,408147.15,3366960.19,441554.53,247758.19999999998,524578.36,38472.34,2361964.87,338203.36,1170365.81,RICHARD SERRA
250,,346180.28,32974.93,223334.52,136406.2,89167.35,188986.96000000002,,,293341.1,TONY SMITH
251,0.0,,58622.1,88083.59,,0.0,107317.59,182021.5,15978.11,99084.09999999999,ELIZABETH MURRAY
252,482454.26,676273.01,36638.81,105132.03,64027.4,586309.61,137015.54,92359.06,206383.94,172093.44,DAVID SALLE
253,1390781.5599999998,697945.9299999999,1491199.5999999999,777834.9400000001,642432.0,321483.13,82344.32,720333.75,45271.32,170137.84,LARRY RIVERS
254,1517540.1099999999,20854.23,,806391.0800000001,585989.9,1183044.93,477057.08999999997,753838.6599999999,288937.50999999995,149929.89,JULIAN SCHNABEL
255,445881.30000000005,89375.28,43966.57,515715.22,106897.92,,53996.27,51235.68,129156.4,24771.019999999997,FRANCESCO CLEMENTE
256,,,23448.84,,27838.0,37724.65,,,0.0,3911.21,ANN HAMILTON
257,,,,,,,,,,2085.98,PETER ARTHUR HUTCHINSON
258,82170.4,47666.82,47630.45,57538.47,27838.0,52128.61,65470.479999999996,,,221635.49999999997,SAUL STEINBERG
259,5566.69,,,,16702.8,21948.89,7424.49,,,6518.69,RAY JOHNSON
260,,,,,,164616.64,70870.11,,3994.53,123855.13,SERGE POLIAKOFF
261,1917259.9300000002,767733.74,1290858.59,1792785.23,3119387.0900000003,1100325.0499999998,3123010.56,5409678.88,4534854.32,3862194.12,HELEN FRANKENTHALER
262,685742.8900000001,1169326.69,390862.84,288828.94,844744.1099999999,1194293.73,1169829.26,2715221.4200000004,944972.1399999999,779635.46,LYNN CHADWICK
263,116962.21,,,,123043.96,54872.21,1139321.37,1952349.09,77227.54,1142074.69,KAZUO SHIRAGA
